activity_event_id,asset_id,geo,origin_measurement_timestamp,scope,category,activity,source,raw_data,units
carbon-lake-PTP1253,vehicle102,"[40.1667409,44.2123603]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,178,gal
carbon-lake-BOUY400,vehicle100,"[-7.4066528,108.7719766]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,50,gal
carbon-lake-ZEGL817,vehicle101,"[-6.9206542,39.2187828]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,40,gal
carbon-lake-MBUO082,vehicle100,"[15.8507092,120.3947577]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,127,gal
carbon-lake-NRV4178,vehicle102,"[-23.006144,-46.8422385]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,100,gal
carbon-lake-LOWX760,vehicle100,"[38.8053078,-9.2279436]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,182,gal
carbon-lake-IJTW055,vehicle100,"[34.8066794,32.4212424]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,177,gal
carbon-lake-THQE818,vehicle103,"[18.6367692,-69.2696692]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-LMHL759,vehicle102,"[50.1801755,28.7362455]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,17,gal
carbon-lake-EPWA326,vehicle102,"[34.9810045,35.9438027]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,88,gal
carbon-lake-ZBE0112,vehicle102,"[-9.6665263,120.2465683]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,9,gal
carbon-lake-DNC6833,vehicle101,"[-11.4077673,-69.4887886]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,191,gal
carbon-lake-PWNR312,vehicle101,"[7.8023204,6.733343]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,88,gal
carbon-lake-GMTG728,vehicle100,"[49.6766897,19.6231329]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,123,gal
carbon-lake-CWVN108,vehicle103,"[15.479529,44.2166214]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,130,gal
carbon-lake-BYCC312,vehicle103,"[37.7181398,-122.4863492]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,122,gal
carbon-lake-GVH4644,vehicle103,"[53.2264,78.9845]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,70,gal
carbon-lake-WRNF935,vehicle102,"[-39.4886902,176.9054195]",2019-07,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,7,gal
carbon-lake-ALDC711,vehicle102,"[-19.0153937,-65.5366243]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,94,gal
carbon-lake-IGV3252,vehicle102,"[24.874132,118.675675]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,23,gal
carbon-lake-BIZV456,vehicle101,"[50.4216642,14.3468802]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,177,gal
carbon-lake-XVVJ955,vehicle102,"[59.2416497,14.4338249]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,38,gal
carbon-lake-ZTAP864,vehicle100,"[-8.6742387,115.1647919]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,1,gal
carbon-lake-ZPTY156,vehicle100,"[-17.1406793,-71.8230371]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,10,gal
carbon-lake-MMK4922,vehicle101,"[22.299866,113.058484]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,174,gal
carbon-lake-BBDY780,vehicle103,"[45.991471,4.718821]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,85,gal
carbon-lake-HOXR106,vehicle101,"[32.388662,119.39402]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,132,gal
carbon-lake-RGOV324,vehicle103,"[48.4012026,26.2777899]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,90,gal
carbon-lake-TKLG068,vehicle103,"[-8.3120496,123.2814017]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,106,gal
carbon-lake-HJS0081,vehicle102,"[45.846967,-73.4924769]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,99,gal
carbon-lake-AIKK855,vehicle101,"[-7.0715432,111.9758606]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,183,gal
carbon-lake-OAHB508,vehicle101,"[-6.3279641,106.8501157]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,23,gal
carbon-lake-KID8557,vehicle102,"[-6.5816014,111.0683954]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,160,gal
carbon-lake-OLGK055,vehicle102,"[55.0614182,73.2498639]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,78,gal
carbon-lake-TFKF992,vehicle100,"[-7.3737257,107.7103291]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,17,gal
carbon-lake-RDFU493,vehicle101,"[9.2901323,123.247589]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,122,gal
carbon-lake-ECZ0733,vehicle103,"[-6.6111074,105.7703287]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,160,gal
carbon-lake-WMZ4375,vehicle101,"[-3.2545446,104.7593863]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,178,gal
carbon-lake-QWPS395,vehicle100,"[41.632769,-8.3119724]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,86,gal
carbon-lake-LFZX770,vehicle102,"[21.270702,110.359368]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,11,gal
carbon-lake-MEZW592,vehicle102,"[34.749864,106.137293]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,116,gal
carbon-lake-WBLS322,vehicle103,"[-8.1487,111.6539]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,93,gal
carbon-lake-YDMD113,vehicle102,"[22.851846,110.86585]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,174,gal
carbon-lake-KYBT951,vehicle100,"[52.182304,-8.9342111]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,195,gal
carbon-lake-FPQJ737,vehicle103,"[6.8740602,-74.9910112]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,124,gal
carbon-lake-LGCA714,vehicle100,"[13.6535843,123.1806689]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,39,gal
carbon-lake-QRFC710,vehicle103,"[-3.7099248,138.8095665]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,157,gal
carbon-lake-DOV8771,vehicle100,"[28.228209,112.938814]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,55,gal
carbon-lake-YTW5993,vehicle101,"[48.64989,-53.11474]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,44,gal
carbon-lake-DUSO919,vehicle100,"[39.109563,117.223371]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,62,gal
carbon-lake-BRCU486,vehicle100,"[9.201062,-73.5425659]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,113,gal
carbon-lake-JYN1820,vehicle101,"[43.411002,5.0434979]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,163,gal
carbon-lake-LAKE453,vehicle102,"[39.906972,-8.2750089]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,2,gal
carbon-lake-KZAL253,vehicle102,"[18.5543202,-74.3730427]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,114,gal
carbon-lake-MESC860,vehicle100,"[8.0882791,-63.5535552]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,120,gal
carbon-lake-YKEN893,vehicle101,"[5.2306075,95.8670405]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,13,gal
carbon-lake-CSCN704,vehicle101,"[-31.4353687,-64.149104]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,43,gal
carbon-lake-FHLP411,vehicle101,"[7.75778,124.73361]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,113,gal
carbon-lake-JFS0702,vehicle102,"[-9.7744129,-76.785759]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,183,gal
carbon-lake-IVW7464,vehicle103,"[40.8833166,107.1419766]",2019-07,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,104,gal
carbon-lake-YIZ0651,vehicle103,"[20.36667,-75.01667]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,115,gal
carbon-lake-NPTQ741,vehicle101,"[32.5483419,120.4520149]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,84,gal
carbon-lake-ODVB848,vehicle100,"[59.1511208,28.0935735]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,120,gal
carbon-lake-YATN730,vehicle102,"[-6.4026236,-38.8591633]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,3,gal
carbon-lake-IIE7425,vehicle100,"[7.4554641,4.5443923]",2019-01,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,184,gal
carbon-lake-FOJC144,vehicle101,"[59.1389119,37.9366941]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,3,gal
carbon-lake-EYDE289,vehicle103,"[-6.8083456,105.6735131]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,144,gal
carbon-lake-KGGW493,vehicle103,"[43.994424,80.91137]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,196,gal
carbon-lake-VWTD321,vehicle102,"[39.6352297,-8.6888467]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,108,gal
carbon-lake-HBP3353,vehicle100,"[16.663904,121.451539]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,75,gal
carbon-lake-QJKH826,vehicle100,"[39.4364103,-8.2988008]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,105,gal
carbon-lake-POZH673,vehicle101,"[14.6430983,121.0219885]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,192,gal
carbon-lake-GQSM601,vehicle100,"[50.7837134,17.0744196]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,158,gal
carbon-lake-ZLL6836,vehicle101,"[38.5576952,-8.9679735]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,47,gal
carbon-lake-MFS7871,vehicle102,"[43.817071,125.323544]",2019-05,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,196,gal
carbon-lake-PLX5023,vehicle102,"[48.3909721,-4.4854059]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,173,gal
carbon-lake-WTCQ367,vehicle101,"[25.015105,102.743811]",2019-09,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,198,gal
carbon-lake-XUI3845,vehicle101,"[-8.2156978,113.9001141]",2019-06,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,153,gal
carbon-lake-LYGK797,vehicle101,"[52.3382178,5.2172366]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,122,gal
carbon-lake-HWMX538,vehicle103,"[29.33903,104.778442]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,193,gal
carbon-lake-CBHO535,vehicle102,"[44.0731738,15.2838313]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,40,gal
carbon-lake-PEXU505,vehicle101,"[-6.8005667,111.2099808]",2019-08,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,134,gal
carbon-lake-AGKI571,vehicle102,"[13.2944016,-4.8987523]",2019-10,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,95,gal
carbon-lake-MOI0747,vehicle103,"[6.2194589,-73.809258]",2019-04,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,59,gal
carbon-lake-RWKH324,vehicle101,"[-21.4096214,25.5858711]",2019-02,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,24,gal
carbon-lake-RPVC700,vehicle100,"[37.359264,115.408747]",2019-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,70,gal
carbon-lake-ILED263,vehicle101,"[-29.8224312,27.2388161]",2019-11,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,72,gal
carbon-lake-ZYMM780,vehicle100,"[38.7470186,-90.2526163]",2019-03,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,company_fleet_management_database,117,gal
